Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
Iran war/Oil,ES,15m,Vol,0.09747608710288236,3.311658639706989e-05,3.485910281319405e-05
Iran war/Oil,ES,30m,Vol,0.08150501335349325,3.0815564643931555e-05,3.2153757702711434e-05
Iran war/Oil,ES,1h,Vol,-0.03167030483170641,1.5994360577099364e-05,1.5746948873710858e-05
Iran war/Oil,ES,1d,Vol,0.754126578560942,4.945869147240089e-07,9.974401128241046e-07
Iran war/Oil,YM,5m,Vol,0.32322476656163535,3.9940948336939305e-05,4.855077241225057e-05
Iran war/Oil,YM,15m,Vol,0.2135164713853378,2.7884400511610282e-05,3.144245848790026e-05
Iran war/Oil,YM,30m,Vol,0.11916847787846807,2.724921541146718e-05,2.9034047165590478e-05
Iran war/Oil,YM,1h,Vol,0.19738041640544401,1.3188601651180216e-05,1.4721222437886786e-05
Iran war/Oil,YM,1d,Vol,0.21802900763358068,6.70046388067398e-07,7.577213929122261e-07
Iran war/Oil,ZN,5m,Vol,-0.31304190446572044,1.5106949358454843e-05,1.3183705107086585e-05
Iran war/Oil,ZN,15m,Vol,-22.90446775967972,3.3804877706578916e-05,6.914166442130344e-06
Iran war/Oil,ZN,30m,Vol,-20.52530028712815,2.2688143349526192e-05,4.8901744035964075e-06
Iran war/Oil,ZN,1h,Vol,-346.6627749963369,5.887673222332653e-05,3.157654444742682e-06
Iran war/Oil,ZN,1d,Vol,-2073.8536409482776,1.8751499471573798e-05,4.116634111277787e-07
Iran war/Oil,I_NDX,5m,Vol,0.01180012619414772,8.5168268405805e-05,8.567525790673148e-05
Iran war/Oil,I_NDX,15m,Vol,-0.09165064756546148,2.732386052617847e-05,2.6151717816946742e-05
Iran war/Oil,I_NDX,30m,Vol,-0.5257953854912667,1.9286083765944486e-05,1.56133429854687e-05
Iran war/Oil,I_NDX,1h,Vol,0.06981890328246854,7.86714911102714e-06,8.157059439515006e-06
Iran war/Oil,I_NDX,1d,Vol,-0.7931020620515947,7.4252465606528074e-06,5.545087125959133e-06
Iran war/Oil,X_BTCUSD,5m,Beta,-0.2617524454519815,2.880787226501941,2.5646263798662177
Iran war/Oil,X_BTCUSD,15m,Beta,-0.45187896802504435,1.5668571644054923,1.3003617931484535
Iran war/Oil,X_BTCUSD,30m,Beta,-0.35331912407994803,1.0233814285400826,0.8797057324978934
Iran war/Oil,X_BTCUSD,1h,Beta,-1.0171154820501318,0.996499572446514,0.7016357921189359
Iran war/Oil,X_BTCUSD,1d,Beta,-5.014206714251968,0.42847485628352344,0.17471740319673806
Iran war/Oil,CL,5m,Beta,-0.9702841287484629,6.3303040844198835,4.509829705750621
Iran war/Oil,CL,15m,Beta,-1.1273563226237209,4.841918864740688,3.31968891733299
Iran war/Oil,CL,30m,Beta,-4.010230262435748,3.8014985925618996,1.6983452898867937
Iran war/Oil,CL,1h,Beta,-7.020334647204468,4.199883375890999,1.4829994369153927
Iran war/Oil,CL,1d,Beta,-59.27958155825556,2.902250797260188,0.37380906133997066
Iran war/Oil,ES,5m,Beta,1.0,0.0,0.0
Iran war/Oil,ES,15m,Beta,1.0,0.0,0.0
Iran war/Oil,ES,30m,Beta,1.0,0.0,0.0
Iran war/Oil,ES,1h,Beta,1.0,0.0,0.0
Iran war/Oil,ES,1d,Beta,1.0,0.0,0.0
Iran war/Oil,YM,5m,Beta,-1.0346545955747977,0.5666304543335899,0.3972414566379726
Iran war/Oil,YM,15m,Beta,-0.5185924438136218,0.26149927164741565,0.21220219225395268
Iran war/Oil,YM,30m,Beta,-1.8215796881443151,0.2036087062689266,0.12121327469100797
Iran war/Oil,YM,1h,Beta,-2.3253386202966273,0.21185010218832048,0.1161744806590073
Iran war/Oil,YM,1d,Beta,-1.0500847497490056,0.0650123508220561,0.04540565685765316
Iran war/Oil,ZN,5m,Beta,0.0192391833539588,0.6642433955161252,0.6707268494742472
Iran war/Oil,ZN,15m,Beta,-0.5267280136924359,0.3054263809314145,0.24718704678601255
Iran war/Oil,ZN,30m,Beta,-4.542898380760416,0.4843961224298098,0.2057463785252221
Iran war/Oil,ZN,1h,Beta,-2.542544266568302,0.2632729033540961,0.1398777120224084
Iran war/Oil,ZN,1d,Beta,-26.041773240972773,0.22837325128202668,0.04391649297494516
Iran war/Oil,I_NDX,5m,Beta,-0.21065792721767762,0.5571444840933726,0.5063573404972281
Iran war/Oil,I_NDX,15m,Beta,-0.5507021311320781,0.24741198103424653,0.1986810904060118
Iran war/Oil,I_NDX,30m,Beta,-0.3892381369387323,0.15771168891657025,0.1338059833714581
Iran war/Oil,I_NDX,1h,Beta,-7.969984027623161,0.16528792503911216,0.055188080979357075
Iran war/Oil,I_NDX,1d,Beta,-4.030361729574221,0.10393766625838734,0.04634184851954989
National security/Immigration,X_BTCUSD,5m,Return,-0.12057045943297795,0.0025523624108446186,0.0024111418180124914
National security/Immigration,X_BTCUSD,15m,Return,-0.2750309618090099,0.004035852568944162,0.00357416771402912
National security/Immigration,X_BTCUSD,30m,Return,-0.16065824931082018,0.005820497580658558,0.005402663662622908
National security/Immigration,X_BTCUSD,1h,Return,-0.11103953237217912,0.007200439032388928,0.006831156286700797
National security/Immigration,X_BTCUSD,1d,Return,-0.0042041588222987425,0.024037020972301957,0.023986652009225926
National security/Immigration,CL,5m,Return,-0.012580483483121574,0.001953127627601705,0.0019409567001450433
National security/Immigration,CL,15m,Return,0.018915892456217276,0.004736058806712198,0.004781497862344524
National security/Immigration,CL,30m,Return,0.0003146594894869459,0.005806184950819457,0.00580709865204993
National security/Immigration,CL,1h,Return,-0.07844058165645595,0.008642147219299727,0.008321920244151746
National security/Immigration,CL,1d,Return,-0.24059628118399856,0.042651613419616846,0.03829307362541452
National security/Immigration,ES,5m,Return,-0.6012523577251019,0.0006081830808969957,0.0004806228818649863
National security/Immigration,ES,15m,Return,-0.2996459874406463,0.0014304491187400743,0.0012547577285862033
National security/Immigration,ES,30m,Return,-0.08220449676061126,0.0016217503702445385,0.0015589397779665487
National security/Immigration,ES,1h,Return,-0.13738724492401255,0.0025265014687798635,0.002369001732044164
National security/Immigration,ES,1d,Return,0.748317254827854,0.003676085769083105,0.007327552091132286
National security/Immigration,YM,5m,Return,-0.41254114818812804,0.0004958120042297259,0.00041717327939718997
National security/Immigration,YM,15m,Return,-0.23626668075409896,0.0013179535319989514,0.001185342936445202
National security/Immigration,YM,30m,Return,-0.11972927595934002,0.001512499319283828,0.0014293502805596636
National security/Immigration,YM,1h,Return,-0.0777868065844336,0.0024363139386919938,0.00234674995608458
National security/Immigration,YM,1d,Return,0.44959954791278234,0.005510328840750563,0.00742742245164752
National security/Immigration,ZN,5m,Return,-0.32133771495016616,0.00023085080500691443,0.00020082809917623955
National security/Immigration,ZN,15m,Return,-0.18232107576498557,0.00042441028578713176,0.00039031764524799804
National security/Immigration,ZN,30m,Return,-0.13567790186572726,0.0007960501262597005,0.0007469866287558723
National security/Immigration,ZN,1h,Return,-0.4685852065715188,0.0006968160914115001,0.0005750009955312499
National security/Immigration,ZN,1d,Return,-0.3020350034079029,0.0022751887821394964,0.001993912554447905
National security/Immigration,I_NDX,5m,Return,-0.4860386345103269,0.0009978025335423922,0.0008185204834344223
National security/Immigration,I_NDX,15m,Return,-0.2697357513743228,0.0021665029536264984,0.0019226605327563946
National security/Immigration,I_NDX,30m,Return,-0.16910520441076593,0.0028261199836415824,0.002613748514938572
National security/Immigration,I_NDX,1h,Return,-0.06270254012395315,0.003977466957442088,0.0038583420057126385
National security/Immigration,I_NDX,1d,Return,0.4275544168721682,0.0075039538797391425,0.009917975970858837
National security/Immigration,X_BTCUSD,5m,Vol,-0.1021982463179365,0.0002592048613774482,0.000246895562646811
